 | Id   | Map                                                                                                                                     | Difficulty | 
 | 325  | P*Light - TRIGGER*HAPPY [7K BASIC Lv.6]                                                                                                 | 33.60841   | 
 | 326  | P*Light - TRIGGER*HAPPY [7K INFINITE Lv.26]                                                                                             | 56.50539   | 
 | 327  | P*Light - TRIGGER*HAPPY [7K NOVICE Lv.10]                                                                                               | 40.68216   | 
 | 328  | P*Light - TRIGGER*HAPPY [Spy's 4K EXHAUST Lv.20]                                                                                        | 50.12904   | 
 | 329  | Sana - Terekakushi Shishunki [Hard]                                                                                                     | 51.36254   | 
 | 330  | Sana - Terekakushi Shishunki [Insane]                                                                                                   | 56.80978   | 
 | 331  | Sana - Terekakushi Shishunki [Normal]                                                                                                   | 42.9068    | 
 | 332  | Sana - Terekakushi Shishunki [[Shi-Ra]'s Insane]                                                                                        | 56.75033   | 
 | 333  | Otokaze - amamichi [4K Hyper]                                                                                                           | 39.48904   | 
 | 334  | Otokaze - amamichi [4K Normal]                                                                                                          | 20.3192    | 
 | 335  | Otokaze - amamichi [7K Normal]                                                                                                          | 30.73639   | 
 | 336  | Otokaze - amamichi [Arrival's 7K Hyper]                                                                                                 | 46.82557   | 
 | 337  | Otokaze - amamichi [PC's 7K Another]                                                                                                    | 54.02454   | 
 | 339  | nano feat. MY FIRST STORY - SAVIOR OF SONG (TV Size) [Insane]                                                                           | 23.56242   | 
 | 340  | nano feat. MY FIRST STORY - SAVIOR OF SONG (TV Size) [Kanto's Insane]                                                                   | 25.51482   | 
 | 341  | nano feat. MY FIRST STORY - SAVIOR OF SONG (TV Size) [S.Star's Hard]                                                                    | 49.72972   | 
 | 342  | nano feat. MY FIRST STORY - SAVIOR OF SONG (TV Size) [S.Star's Normal]                                                                  | 39.59235   | 
 | 344  | nano feat. MY FIRST STORY - SAVIOR OF SONG (TV Size) [W h i t e's Hard]                                                                 | 15.38231   | 
 | 346  | nao - Dimension tripper!!!! [Fycho's Hard]                                                                                              | 26.95233   | 
 | 347  | nao - Dimension tripper!!!! [Laurier's Insane]                                                                                          | 34.98174   | 
 | 348  | nao - Dimension tripper!!!! [Supreme]                                                                                                   | 27.3208    | 
 | 349  | nao - Dimension tripper!!!! [wkyik's Insane]                                                                                            | 33.01828   | 
 | 350  | nao - Dimension tripper!!!! [zlfence's Normal]                                                                                          | 21.56955   | 
 | 351  | Yun*chi - Your song* [4K EZ]                                                                                                            | 14.30663   | 
